Time (s)     Err_Time (s)     Flux (erg/cm^2/s/A)    Err_Flux (Jy)
           1907.0000               0.0010    4.6461618133370208e-05    5.1351279547230779e-06
           2542.0000               0.0010    3.4601452431367201e-05    3.8242939611850720e-06
           3178.0000               0.0010    3.2741180100829097e-05    3.6186890590802314e-06
           3813.0000               0.0010    3.4284224403980768e-05    3.7892326228826135e-06
           4448.0000               0.0010    3.0696886494964078e-05    3.3927453734125278e-06
           5084.0000               0.0010    3.0136605165276788e-05    3.8859575890613886e-06
           5878.0000               0.0010    2.7232927356265759e-05    3.5115435249611491e-06
           7048.0000               0.0010    2.3285969622419666e-05    3.4315473966108248e-06
           8282.0000               0.0010    1.9014912236246257e-05    2.9772749209739493e-06
           9515.0000               0.0010    1.9728511780221685e-05    3.0890073339086040e-06
          10748.0000               0.0010    1.8667850969516193e-05    3.0948707950611353e-06
