time_sec	flux	flux_err	band	logF	logT	mag	mag_err	source
146114.42	5.284834718984626e-14	5.3584885604058345e-15	r	-13.294812490262126	5.164693078476359	21.33	0.11	manual
75606.42	2.8928258972258103e-13	2.1764621283597664e-14	V	-12.560090382971438	4.87855867449848	19.6	0.076	manual
75606.42	4.1965674157863907e-13	4.323033284024194e-14	B	-12.405421760954177	4.87855867449848	19.5	0.087	manual
75606.42	1.7913872263557008e-13	1.0559543099357662e-14	R	-12.763748565630324	4.87855867449848	19.8	0.064	manual
75606.42	1.8976275005201465e-13	1.110371892201207e-14	I	-12.733541799924136	4.87855867449848	19.3	0.049	manual
55806.42	4.019157792155171e-20	1.2712860842078984e-20	uvw2	-19.459196886859004	4.7466841632779255	21.02	0.27	manual
56826.42	3.803076460330124e-20	1.2306671241315147e-20	uvw2	-19.483196886859005	4.754550296846794	21.08	0.28	manual
103718.42	2.821559976242101e-20	9.346344694771628e-21	uvw1	-19.60071239792808	5.015855892299899	20.7	0.32	manual
257414.42	4.9338901176222114e-14	1.817712293649207e-14	R	-13.323748565630323	5.410632871826397	21.2	0.4	manual
1210334.42	1.2977453251910693e-14	5.976338080575333e-16	R	-13.90374856563032	6.08290538411319	22.65	0.05	manual
