Time (s)     Err_Time (s)     Flux (erg/cm^2/s/A)    Err_Flux (Jy)
            146.9000              74.9000    1.0351850511724625e+47    1.9068813887511338e+45
            570.2000               9.9000    2.9310146129503831e+46    1.3497821498828682e+45
            743.0000               9.8500    2.2856934410925109e+46    1.0526007592249586e+45
            933.1000              74.8500    1.7824525621843840e+46    4.9250985801690913e+44
           1175.0000               9.9000    1.4689870904649033e+46    8.1179228968305217e+44
           5987.5000              99.9000    3.3038321082671680e+45    1.2171767650001544e+44
          12709.4000             180.5000    1.7661108780284883e+45    8.1332413947851172e+43
          29427.8000             807.1000    8.1473797726404541e+44    5.2528100104215306e+43
          87747.8000             283.3000    2.8511361307715169e+44    4.7267882940984615e+43
         125366.4000           20394.8500    1.2106481651473636e+44    3.0106301380329953e+43
         165672.0000           14681.0000    1.0069732805574623e+44    1.7621677160188792e+43
         222575.0000           14997.4000    6.4123607042063436e+43    1.6536807384675318e+43
         283953.6000           23418.0000    1.0447633931214095e+44    1.7320728124519769e+43
         341763.8000           29414.5500    1.2331557953211043e+44    2.8394462333873310e+43
         576132.5000           49342.0500    6.9665529855300160e+43    1.4757794994557982e+43
