time_sec	flux	flux_err	band	source
425.0	7.471313394470796e-13	1.7318189294064917e-13	u	manual
564.688508987427	9.441960734359742e-13	4.246816041990164e-13	b	uvot
639.0	1.663596795754313e-12	7.520333186934307e-13	v	manual
738.396479010582	1.2070400666100637e-12	4.735039388917313e-13	b	uvot
813.012529015541	1.1719319217705925e-12	6.55377227911274e-13	v	uvot
4920.17022997141	7.585726865545857e-14	3.341130936682356e-14	u	uvot
7988.0	1.8041499001553562e-13	5.0316936151341936e-15	r'	manual
42372.0	3.2512591533966605e-14	1.5001676529810584e-14	i'	manual
44424.0	3.94685738868527e-14	3.635189994944044e-15	R	manual
5125.46530002356	2.362892891814344e-13	6.973348687239033e-14	b	uvot
5741.09126001596	2.7349537413841985e-13	1.2312497185097953e-13	v	uvot
7988.0	1.4220007357154734e-13	8.301062309768677e-15	g'	manual
