time_sec	flux	flux_err	band	source
265.0	3.436352611834651e-12	5.078727536569954e-13	U	manual
276.0	7.618999085592382e-12	6.938399235149679e-13	u	manual
458.0	2.6097533949658945e-11	2.4343582969283193e-12	v	manual
2094.0	1.0161042526874553e-11	2.807599806199187e-12	R	manual
2468.0	1.669185016778358e-12	1.8218565443210503e-13	J	manual
3153.0	2.4374643305023704e-12	2.0204888515630086e-13	R	manual
3870.0	4.4354559350463705e-12	1.2255617660003683e-12	R	manual
4332.0	1.2910357516569576e-12	3.8050811856482215e-13	R	manual
6480.0	1.220793048824204e-12	5.113852477306811e-14	I	manual
8745.0	8.145884894944656e-13	6.752373526204176e-14	R	manual
14760.0	5.949828911287496e-13	5.600132099878632e-14	J	manual
60769.0	2.065345281754628e-13	1.9026866743703473e-14	Rc	manual
90053.0	5.3325909220189617e-14	7.85839639300879e-15	R	manual
