time_sec	flux	flux_err	band	source
18203.0	4.552110580674396e-13	4.26673591601072e-14	g'	manual
18203.0	4.12995980487054e-13	3.804308216976571e-14	r'	manual
18203.0	3.814426487511715e-13	3.538308996004199e-14	i'	manual
18203.0	3.3774091276314406e-13	3.1945912122751285e-14	z'	manual
18203.0	1.5203771180159988e-13	1.523950702824574e-14	J	manual
18203.0	8.730789313475122e-14	9.472905604115589e-15	H	manual
18203.0	4.507985519709173e-14	5.368698265822075e-15	K	manual
3684.0	1.82513319666599e-12	2.0254021748045632e-13	v	manual
9670.0	7.067967834091355e-13	8.492077571652462e-14	v	manual
27701.0	3.813243726087521e-13	1.229832297286582e-13	v	manual
4299.0	6.2016379085725515e-12	4.0949112887172675e-13	u	manual
21963.0	1.6924132069514614e-12	1.8204638348653588e-13	u	manual
61409.0	1.5434991894088263e-12	1.2667180000772183e-13	u	manual
4094.0	1.2268475692319619e-18	1.3139164297195105e-19	uvw1	manual
61491.0	4.2932937753321264e-19	3.9385829020149614e-20	uvw1	manual
3889.0	3.876473773887321e-18	5.595151250767357e-19	uvm2	manual
3250.0	1.9428391669632595e-18	2.4896960448218207e-19	uvm2	manual
41730.0	8.0991016571399425e-19	1.1689927859771385e-19	uvm2	manual
23939.0	9.827359649555997e-19	1.4998557342060332e-19	uvm2	manual
4914.0	1.412081021765992e-18	2.425671588720405e-19	uvw2	manual
26893.0	3.234890735850986e-19	6.661248455335543e-20	uvw2	manual
457956.0	5.990551530710652e-14	1.1064434261935802e-14	I	manual
457956.0	5.834628870033392e-14	1.6121675351149895e-14	R	manual
