time_sec	flux	flux_err	band	logF	logT	mag	mag_err	source
1839210.0	8.928846184143166e-15	1.645102092947283e-15	r	-14.33675575100045	6.264631319577562	23.94	0.2	manual
1839210.0	1.0508158493511271e-14	1.4827782270709608e-15	i	-14.192154678665146	6.264631319577562	23.38	0.15	manual
108606.0	8.246466998682007e-15	2.3089783141103422e-15	g	-14.499391268787422	5.035853818760301	24.6	0.3	manual
108606.0	8.448806067555438e-15	1.5566567345873651e-15	r	-14.360755751000449	5.035853818760301	24.0	0.2	manual
108606.0	9.408634865900691e-15	1.7540631388435088e-15	i	-14.240154678665146	5.035853818760301	23.5	0.2	manual
8406.0	1.4682342186140605e-13	1.3534372945293787e-14	r	-13.120755751000448	3.9245893856694174	20.9	0.1	manual
251.0	2.4502181192298697e-12	4.513468572738086e-13	R	-11.883748565630324	2.399673721481038	17.6	0.2	manual
606.4	1.2449247838330945e-12	2.7707943292007043e-13	v	-12.281998077523005	2.782759192623997	18.94	0.24	manual
277.4	8.006533457463123e-12	1.0040230883899593e-12	u	-11.71214384928665	2.443106456737266	17.93	0.09	manual
28266.0	3.8618494698260726e-14	4.62627748581547e-15	r	-13.70075575100045	4.451264354621878	22.35	0.13	manual
28266.0	3.3847501377309184e-14	3.8651445269299146e-15	i	-13.684154678665143	4.451264354621878	22.11	0.12	manual
2288490.0	1.1989341799456967e-14	2.098584106202346e-15	r	-14.20875575100045	6.3595490190336665	23.62	0.19	manual
2288490.0	1.2750482354945417e-14	1.7991865684401287e-15	i	-14.108154678665146	6.3595490190336665	23.17	0.15	manual
1412130.0	6.962983106625535e-15	1.5393807221601018e-15	r	-14.44475575100045	6.149874679494685	24.21	0.24	manual
1412130.0	1.1954367825975684e-14	1.5792076850707142e-15	i	-14.136154678665145	6.149874679494685	23.24	0.14	manual
