time_sec	flux	flux_err	band	logF	logT	mag	mag_err
10884.0	1.1278502349956505e-13	2.285334601643118e-14	R	-12.947748565630324	4.03678853310772	20.26	0.22
522.0	1.889084716330713e-13	3.479822645780788e-14	R	-12.723748565630324	2.717670503002262	19.7	0.2
10703.0	2.0554164174331062e-14	2.135835658183362e-15	g'	-13.687100178910693	4.029505525426577	22.6	0.1
10703.0	5.758012702622068e-14	5.308388446441167e-15	r'	-13.23972738136961	4.029505525426577	21.2	0.1
10703.0	5.152898499145242e-14	4.9995756237278875e-15	i'	-13.287948412108163	4.029505525426577	21.1	0.1
10703.0	4.7621772889121585e-14	5.223587592396353e-15	z'	-13.322194440480274	4.029505525426577	21.0	0.1
10703.0	5.643970946403378e-14	8.071698417656456e-15	J	-13.248415230539441	4.029505525426577	19.6	0.1
10703.0	3.5781524543442905e-14	6.5643900591315235e-15	H	-13.446341159389121	4.029505525426577	19.3	0.1
54756.0	3.5340494221256775e-14	4.23386446851854e-15	r	-13.45172738136961	4.738431714820286	21.73	0.13
54756.0	5.152898499145242e-14	4.109373195215309e-15	i	-13.287948412108163	4.738431714820286	21.1	0.08
