time_sec	mag	mag_err	band	source
71353.0	20.990356069719414	0.03	r	manual
71353.0	21.103360926063733	0.05	z	manual
99373.0	21.350356069719417	0.02	r	manual
99373.0	20.944851031240077	0.02	i	manual
99373.0	21.153360926063733	0.19	Z	manual
99373.0	21.06794604891166	0.29	Y	manual
99373.0	20.538727550735697	0.23	J	manual
675733.0	21.13035606971942	0.05	r	manual
71711.0	21.050356069719417	0.04	r	manual
71711.0	20.02336092606373	0.17	z	manual
48931.0	20.357292041672395	0.1	R	manual
94657.0	21.350356069719417	0.02	r	manual
94657.0	20.944851031240077	0.02	i	manual
94657.0	21.153360926063733	0.19	Z	manual
94657.0	21.06794604891166	0.29	Y	manual
94657.0	20.538727550735697	0.23	J	manual
-4657.0	21.587245557235555	0.03	g	manual
-4657.0	21.27035606971942	0.03	r	manual
-4657.0	20.89485103124008	0.03	i	manual
-4657.0	20.693360926063733	0.03	z	manual
-4657.0	20.218727550735696	0.07	J	manual
-4657.0	19.891859901664777	0.07	H	manual
-4657.0	19.697977038536223	0.12	K	manual
240.0	19.64196909389086	0.2	u	manual
