time_sec	flux	flux_err	band	source
8460.4	2.0613599810186615e-13	2.4721538714892967e-14	r	nissim
8934.6	1.183157716319986e-13	2.142336233903874e-14	r	nissim
9679.0	1.535613213556921e-13	2.2078472648047955e-14	r	nissim
10008.7	1.0231917751798214e-13	2.0177933765432306e-14	r	nissim
10097.5	1.794242090631001e-13	2.2316269052646443e-14	r	nissim
13486.1	1.171884042302735e-13	2.2718452225261138e-14	r	nissim
18020.75	4.286344178642556e-14	1.7461172572816279e-15	r	nissim
3715.6	6.440395802553422e-13	3.740768473056931e-14	i	nissim
3999.1	3.9883472009495163e-13	4.1901935653549357e-14	i	nissim
4088.8	1.0586269803216384e-12	7.561927383701298e-14	i	nissim
4384.5	8.249578477312243e-13	7.506097425319649e-14	i	nissim
4479.5	1.2172106912589747e-12	1.0551665669385658e-13	i	nissim
5163.9	2.680709530084314e-13	2.2823877995467735e-14	i	nissim
5276.6	5.789360028414204e-13	3.64790985603943e-14	i	nissim
5561.9	9.132955851614314e-13	7.455940116786592e-14	i	nissim
5659.5	8.454644638992355e-13	7.798925551316776e-14	i	nissim
5950.9	6.347030105589563e-13	4.923166170666958e-14	i	nissim
6038.4	9.627318910051934e-13	1.1548757284514865e-13	i	nissim
6338.1	4.567188729520566e-13	4.775967920034231e-14	i	nissim
6425.5	6.713839553007622e-13	5.661788358398295e-14	i	nissim
6712.2	8.087400644178665e-13	6.723045909808138e-14	i	nissim
6822.0	6.153221633826708e-13	3.820069064169549e-14	i	nissim
7110.7	7.568248060834242e-13	5.3867586709554517e-14	i	nissim
7493.1	4.165045578434096e-13	4.665205240843022e-14	i	nissim
7587.9	6.860114402851719e-13	6.27164514465262e-14	i	nissim
7878.9	3.5653728930381865e-13	3.3361980226391455e-14	i	nissim
8251.4	2.868535033414766e-13	2.3824842652966546e-14	i	nissim
8367.6	4.621393597004373e-13	3.273560390885585e-14	i	nissim
8656.9	4.731100333093014e-13	4.228574762523403e-14	i	nissim
8744.3	5.946247177595727e-13	5.986522818411712e-14	i	nissim
9027.5	3.687093562719195e-13	4.484930360502478e-14	i	nissim
9116.5	4.058793519546294e-13	3.769514804771089e-14	i	nissim
9411.1	3.2854628308627055e-13	3.776776431022612e-14	i	nissim
9499.2	6.248839330671467e-13	6.335424352854404e-14	i	nissim
9784.7	5.089109064119152e-13	5.938565353233789e-14	i	nissim
9899.0	3.359366277415155e-13	3.2894916640760264e-14	i	nissim
10284.8	4.064015524584778e-13	5.1077048842120606e-14	i	nissim
11849.2	2.887626098206721e-13	3.5613489065881355e-14	i	nissim
13392.5	1.746741177123116e-13	3.0615453589712835e-14	i	nissim
14910.8	2.2059870482439763e-13	3.1150537384910577e-14	i	nissim
16809.1	8.95349423450662e-14	1.5102152784102787e-14	i	nissim
18145.2	1.310107576700712e-12	5.847415045689226e-14	i	nissim
18020.75	1.1241662904674094e-13	5.285174082156586e-15	i	nissim
