time_sec	flux	flux_err	band
73.0	1.1919494963093385e-12	1.391869755173254e-13	i
103.0	9.49075993569186e-13	8.787412997604075e-14	r
103.0	1.0005939081036406e-12	1.1684189659144976e-13	i
158.0	1.589245209375058e-12	2.838582036928628e-13	g
158.0	3.2907962085028734e-12	3.0469199064148825e-13	r
203.0	1.824697642590539e-12	3.259128245615592e-13	g
203.0	3.884194672620414e-12	3.596342440719524e-13	r
248.0	1.5459338653204277e-12	2.7612227958854826e-13	g
248.0	3.142685981227692e-12	2.909785920827337e-13	r
293.0	1.6187914837756929e-12	2.891355217100609e-13	g
293.0	2.114954303398214e-12	1.958217999501568e-13	r
338.0	2.7120705841674894e-12	2.511082828268352e-13	r
338.0	1.824697642590539e-12	3.259128245615592e-13	g
383.0	1.2055657770544762e-12	2.1532846780947146e-13	g
383.0	2.076352036942461e-12	1.922476492995373e-13	r
428.0	1.7591423671043206e-12	1.6287747879065516e-13	r
428.0	1.371484522832102e-12	2.449635403946075e-13	g
473.0	1.649305048170672e-12	1.5270773589799434e-13	r
473.0	1.3589106771480625e-12	2.4271770115700725e-13	g
518.0	1.0994890562302144e-12	1.9638189666413842e-13	g
518.0	1.4199003114507557e-12	1.658053722065159e-13	i
563.0	1.2058713813040785e-12	1.1165059406528729e-13	r
563.0	1.2858517816942477e-12	2.2966850855603694e-13	g
608.0	8.34047742046242e-13	1.4897090295111386e-13	g
608.0	1.0997677706184005e-12	1.0182655200806841e-13	r
653.0	9.756655895497e-13	9.033603779905408e-14	r
698.0	7.821697003441999e-13	7.242041983686168e-14	r
743.0	6.74995672110364e-13	6.249726873948918e-14	r
788.0	7.266093603774987e-13	6.727613574493555e-14	r
833.0	7.538778585910054e-13	6.980090254180055e-14	r
878.0	5.718748378381587e-13	5.2949399385007445e-14	r
922.0	5.02690859268751e-13	4.6543714312092815e-14	r
43560.0	2.2711793684237364e-14	6.275500508697752e-15	R
2437787.0	6.939065520942881e-15	6.424821085258509e-16	r
