time_sec	flux	flux_err	band_init	band_norm	source
438	1.5430898118871867e-12	7.816079500969869e-14	g	R	guidorzi09
695	1.4601289233326068e-12	8.207238390572636e-14	g	R	guidorzi09
963	1.4467423808998283e-12	7.328059183221536e-14	g	R	guidorzi09
1323	1.3564106901411678e-12	7.624248593131827e-14	g	R	guidorzi09
1677	1.1705533275536186e-12	5.929102634081021e-14	g	R	guidorzi09
2036	1.077435309060979e-12	5.457439980420482e-14	g	R	guidorzi09
2385	8.961716557837316e-13	5.61301490252244e-14	g	R	guidorzi09
2737	8.248808167834669e-13	4.1781975314317574e-14	g	R	guidorzi09
3081	7.250888116545185e-13	4.541467339658057e-14	g	R	guidorzi09
3426	6.798157214543113e-13	4.257907233358142e-14	g	R	guidorzi09
3832	5.7067809636771e-13	2.89060645486153e-14	g	R	guidorzi09
186	1.4442021027500896e-12	6.670548882867839e-14	r	R	guidorzi09
207	1.5122652509447528e-12	4.212925246401922e-14	r	R	guidorzi09
228	1.642963718332073e-12	4.577029938074293e-14	r	R	guidorzi09
295	1.8349657944419863e-12	8.475426678099628e-14	r	R	guidorzi09
317	1.9214450680571044e-12	7.111687533416482e-14	r	R	guidorzi09
339	1.8690803555924883e-12	5.206954145584044e-14	r	R	guidorzi09
609	1.851944523892573e-12	6.854450851651573e-14	r	R	guidorzi09
864	1.7685932900404065e-12	6.545949744575574e-14	r	R	guidorzi09
1204	1.7523787292950294e-12	8.093969640953425e-14	r	R	guidorzi09
1559	1.5403803610658295e-12	4.2912493745007834e-14	r	R	guidorzi09
1918	1.3540290218609518e-12	5.011556913458669e-14	r	R	guidorzi09
2268	1.1902219986582717e-12	4.405271371309648e-14	r	R	guidorzi09
2622	1.0656828407806324e-12	2.968819221216149e-14	r	R	guidorzi09
2967	9.54174866885776e-13	2.658176125963325e-14	r	R	guidorzi09
3312	8.543345559824993e-13	3.946040797996684e-14	r	R	guidorzi09
3659	7.579280376316538e-13	2.1114643497226745e-14	r	R	guidorzi09
4579	5.7494721283325e-13	2.12800511128495e-14	r	R	guidorzi09
4688	5.7494721283325e-13	2.12800511128495e-14	r	R	guidorzi09
30383	8.08403105109582e-14	4.476618630071142e-15	r	R	guidorzi09
30605	7.305130404877502e-14	4.0452940691192486e-15	r	R	guidorzi09
30828	7.238156566760075e-14	4.0082065901686075e-15	r	R	guidorzi09
31050	7.171796748481219e-14	3.9714591312687575e-15	r	R	guidorzi09
31271	7.10604532067328e-14	3.935048575097168e-15	r	R	guidorzi09
31494	7.649410594181852e-14	4.235942905035751e-15	r	R	guidorzi09
31717	7.305130404877502e-14	4.0452940691192486e-15	r	R	guidorzi09
31940	8.009916208930836e-14	4.4355767437766085e-15	r	R	guidorzi09
32163	7.509793116153326e-14	4.849084434074575e-15	r	R	guidorzi09
32385	8.622396163003776e-14	5.5674938539268685e-15	r	R	guidorzi09
116557	7.93648085572302e-15	1.462225547464362e-15	r	R	guidorzi09
523	1.9876794706653805e-12	9.069346093638221e-14	i	R	guidorzi09
