time_sec	flux	flux_err	band	source
414	1.2476666441093187e-11	4.627430873607322e-13	v_swift	6215
697	7.648147126283193e-12	1.0165744969216721e-12	b_swift	6215
6257.5	6.600186900147995e-13	9.28444496253149e-14	b_swift	6215
676.5	4.516687100110257e-12	6.362152055605042e-13	u_swift	6215
6053.5	5.233834736445727e-13	7.977851274099423e-14	u_swift	6215
653.5	1.4356072594397567e-12	3.3620118121648207e-13	uvw1_swift	6215
5848.5	1.1615439464434241e-13	3.740569144266109e-14	uvw1_swift	6215
628.5	4.602338780674147e-13	1.8168175883999004e-13	uvm2_swift	6215
5643.5	7.997948147240895e-14	1.593627949118552e-14	uvm2_swift	6215
879.5	4.626589715768626e-13	1.614955181153367e-13	uvw2_swift	6215
6667.5	5.361187398852865e-14	1.1435202226913759e-14	uvw2_swift	6215
60120	1.0986588072377564e-13	8.431325439234357e-15	I	6296
60120	2.149670260816237e-13	3.413630877692859e-14	J	6296
232560	7.192217981754403e-14	8.494194241820842e-15	I	6296
232560	1.6157413826195684e-13	1.975721604529619e-14	J	6296
