time_sec	flux	flux_err	band	source
708	8.808780140384367e-11	4.749290809086287e-13	i'	22976
20236	1.9290644892414947e-12	1.7767340545406554e-13	R	22979
13680	4.646735495929767e-12	2.5982310032423064e-13	g'	22983
13680	2.8379332015652394e-12	1.5684077173378045e-13	Rc	22983
13680	2.8812716179485927e-12	2.13158282361367e-13	Ic	22983
39324.2	1.2852930789170328e-12	3.5523730277895957e-14	Rc	22985
10080	4.2560053865561004e-12	1.176301264616478e-13	Rc	23004
10080	2.9079316959854585e-12	1.35296934857637e-13	Ic	23004
32437	1.4633450623237295e-12	2.0216859158478372e-13	R	23020
49320	1.2486301990932447e-12	2.554108179974684e-13	H	23021
40536	1.2515629782900173e-12	5.764346196801073e-14	r	23040
