	GRB-130603B
t-t0,mid(d)	exp(s)	Afterglow/	pass-band	Telescopes
0.1222	150×10	20.15±0.17	Rc	Tubitak	1.0	m
0.1959	300×10	21.37±0.25	clear	AS-32	0.7	m
0.2024	300×4	21.10±0.27	Ic	OSN	1.5	m	
0.3360	50	21.29±0.02	i	GTC	10.4	m
0.5196	3020.0	22.12±0.81	Y	RATIR	1.5	m
0.5196	3020.0	20.37±0.28	H	RATIR	1.5	m
0.5347	2818.0	21.64±0.34	Z	RATIR	1.5	m
0.5347	2818.0	20.94±0.38	J	RATIR	1.5	m
0.5405	6960.0	22.30±0.20	r	RATIR	1.5	m
0.5405	6960.0	21.98±0.20	i	RATIR	1.5	m
1.1141	150×2+200×8	21.34±0.50	Rc	Tubitak	1.0	m
1.1160	180×14	>	22.64	clear	AS-32	0.7	m
2.0937	180×10	>	22.92	Rc	Maidanak	1.5	m
2.1489	200×5	>	21.14	Rc	Tubitak	1.0	m
2.2803	300×5	20.69±0.15	(h)	Ic	OSN	1.5	m
5.1143	180×23	>	22.56	clear	AS-32	0.7	m
16.2691	300×10	20.69±0.06	(h)	i	LT	2.0	m
19.2650	60×15	19.69±0.13	(h)	Ks	CAHA	3.5	m
19.2323	60×15	20.06±0.09	(h)	J	CAHA	3.5	m
19.2481	60×15	19.68±0.13	(h)	H	CAHA	3.5	m
19.2155	60×15	20.11±0.07	(h)	Z	CAHA	3.5	m
32.2411	50×4	22.01±0.03	(h)	g	GTC	10.4	m
32.2471	50×4	20.97±0.01	(h)	r	GTC	10.4	m
32.2511	50×4	20.65±0.02	(h)	i	GTC	10.4	m
35.5168	469.8	20.88±0.41	(h)	Y	RATIR	1.5	m
35.5168	469.8	20.84±0.30	(h)	H	RATIR	1.5	m
35.5168	335.6	20.39±0.19	(h)	Z	RATIR	1.5	m
35.5168	335.6	20.49±0.43	(h)	J	RATIR	1.5	m
35.5162	960.0	21.26±0.12	(h)	r	RATIR	1.5	m
35.5162	960.0	20.79±0.09	(h)	i	RATIR	1.5	m
1387.84	300.0×2	22.13±0.05	(h)	B	3.6	m	DOT
1387.86	300.0×2	20.72±0.02	(h)	Rc	3.6	m	DOT
