time_sec	flux	flux_err	band	source
135.0	1.7791635779971574e-11	3.285373304059077e-13	r'	manual
389.0	9.16886012779229e-12	4.477349690020538e-13	u	manual
606.0	9.704111317507435e-12	9.868971787708447e-13	v	manual
19440.0	5.811007478680254e-13	5.3521356782744296e-14	R	manual
20556.0	5.014774795014489e-13	4.6187782750890536e-14	R	manual
25141.0	4.615847312509688e-13	2.1256762426642882e-14	R	manual
26079.0	5.251113849905774e-13	3.3855182122741314e-14	R	manual
27925.0	5.155270220708745e-13	3.3237255409568234e-14	R	manual
34524.0	4.968799063343451e-13	2.2882165306674812e-14	R	manual
34880.0	4.448887608413541e-13	2.458546149009348e-14	R	manual
35236.0	4.531598604350709e-13	2.5042539345145355e-14	R	manual
37151.0	3.9719774436815163e-13	2.9270348305860235e-14	Rc	manual
37368.0	3.9833772104636833e-13	2.201295596300612e-14	R	manual
39456.0	3.566575602142404e-13	2.6279500206493942e-14	R	manual
41799.0	2.755823723051459e-13	2.2843867045023502e-14	R	manual
45072.0	4.745166266923245e-13	4.370459643998268e-14	R	manual
45570.0	3.135100262262854e-13	2.8875340515712685e-14	R	manual
