Time       Mag		MagErr		Band	GCN
1020       >18.5	?		V	15897
1320       >19.0	?		R	15897
1080       >18.0	?		I	15897
17892	   23.1		0.3		R	15899	
10.97	   24.2 	0.2	  	g'	15904
10.97	   23.8 	0.2	 	r'	15904
10.97	   23.2 	0.2	  	i'	15904
10.97	   22.4 	0.2	 	z'	15904
10.97	   >21.8	?	 	J	15904
10.97	   >21.3	?        	H	15904
10.97	   >20.6	?	 	K	15904
183.	   >21.8	?	white_FC	15913
532.	   >20.7	?	u_FC	15913
514.	   >21.1	?	white	15913
746.5	   >18.7	?	v	15913
14428.	   >20.2	?	v	15913
759.	   >19.2	?	b	15913
28090.	   >21.0	?	b	15913
532.	   >20.7	?	u	15913
709.5	   >17.9	?	w1	15913
28423.	   >21.1	?	w1	15913
808.5	   >17.8	?	w2	15913
32454.5	   >21.4	?	w2	15913
217  	   >21.8	?	CR	16064
377  	   >21.8	?	CR	16064
841  	   21.7 	0.4	CR	16064
1472       >21.9	?	CR	16064
74160  	   >22.2	?	CR	16064
