time_sec,flux,flux_err,band,source
4850.4,6.842551284481447e-13,2.129814096836818e-14,r,nissim
4958.0,6.66741152024308e-13,2.3832654200136703e-14,r,nissim
5058.4,6.899850185141772e-13,2.0323622187139923e-14,r,nissim
5156.8,6.572504030496907e-13,2.1413621095634023e-14,r,nissim
5278.1,6.856588107766363e-13,2.017157669005832e-14,r,nissim
5453.4,6.768955532819765e-13,1.9134883754730344e-14,r,nissim
5549.1,6.608919486738149e-13,1.9975301098948923e-14,r,nissim
5663.4,6.360037276877244e-13,2.2355080322997635e-14,r,nissim
5764.8,6.492196573447782e-13,2.1227284874275752e-14,r,nissim
5870.3,6.691662997567602e-13,3.199662401304368e-14,r,nissim
5968.0,6.321446417874793e-13,2.0231342891199856e-14,r,nissim
6083.6,6.254031453312584e-13,2.1544290401210112e-14,r,nissim
6188.4,6.699821946449981e-13,2.0193308540817567e-14,r,nissim
6294.2,6.150908422554862e-13,1.9389390092468208e-14,r,nissim
6468.5,6.292338259492224e-13,1.9313867310793756e-14,r,nissim
6748.7,5.911406994249315e-13,1.9709809457427526e-14,r,nissim
6921.5,6.710845819682648e-13,1.947655607324653e-14,r,nissim
7040.2,6.409575404611302e-13,1.9871980032894337e-14,r,nissim
7137.5,5.877795351915476e-13,1.961559938114076e-14,r,nissim
7239.9,6.054747842240597e-13,1.933431432286449e-14,r,nissim
7416.5,6.07750970605354e-13,1.9016462040967352e-14,r,nissim
7507.3,5.931160291016811e-13,1.922961756298569e-14,r,nissim
7602.6,5.987887897764554e-13,1.9711223504854362e-14,r,nissim
7706.0,6.202849744462915e-13,1.9523429368541972e-14,r,nissim
7828.5,5.67182027963972e-13,1.9943879413270556e-14,r,nissim
7923.9,5.99222429537719e-13,1.9256026950648944e-14,r,nissim
8023.0,5.926000190479256e-13,2.0379348899317712e-14,r,nissim
8125.8,5.455071673514742e-13,1.979899430657386e-14,r,nissim
8229.2,5.115744677820038e-13,1.9463307128434432e-14,r,nissim
8330.2,5.694537550687405e-13,1.9253056491454982e-14,r,nissim
8521.6,5.660511292126737e-13,2.2007601107124224e-14,r,nissim
8625.7,5.462115270624001e-13,2.0253542481708542e-14,r,nissim
8731.1,5.237746328549512e-13,1.9957373723630717e-14,r,nissim
8832.4,5.507813942728273e-13,1.9988899204905296e-14,r,nissim
8929.5,5.586920108458447e-13,2.0514672572463804e-14,r,nissim
9048.9,5.416336789766686e-13,2.1157515200368932e-14,r,nissim
9150.6,5.577511329141493e-13,2.0617239014898282e-14,r,nissim
9243.3,5.276345928775502e-13,2.170963319386568e-14,r,nissim
9341.2,5.196547017962795e-13,2.1838740634994287e-14,r,nissim
9441.4,5.614248880997335e-13,2.108697229297937e-14,r,nissim
9545.5,4.917202130331741e-13,2.098806354908772e-14,r,nissim
9732.6,5.31486773373932e-13,2.4645490048865672e-14,r,nissim
9830.0,5.078380776344333e-13,2.2722568992550813e-14,r,nissim
9933.0,4.894230972818581e-13,2.2432666034581168e-14,r,nissim
10035.6,4.948232086413023e-13,2.2334341184367783e-14,r,nissim
10137.4,5.237529246629084e-13,2.1221016802128542e-14,r,nissim
10260.0,5.226368902699116e-13,2.3275477480440585e-14,r,nissim
10438.1,5.877708734160385e-13,2.891869414101473e-14,r,nissim
10635.6,5.092103954242062e-13,2.478618956353552e-14,r,nissim
10739.3,4.9837432573756e-13,2.157954919078304e-14,r,nissim
10835.9,5.618180151631407e-13,2.4072645176179602e-14,r,nissim
10962.4,5.045860749165177e-13,2.2498538706834224e-14,r,nissim
11059.3,5.453197928997478e-13,2.965178944123977e-14,r,nissim
11150.9,4.883051010100021e-13,2.3139986925650468e-14,r,nissim
11247.8,4.652188046897344e-13,2.3945077703981896e-14,r,nissim
11350.9,5.105440992746331e-13,2.52511984589218e-14,r,nissim
11455.1,4.3607306373850564e-13,2.5614589185009745e-14,r,nissim
11546.1,4.794724533118694e-13,2.4571428054491755e-14,r,nissim
11660.6,5.048175689956743e-13,2.8335551490268705e-14,r,nissim
11782.7,4.584648676351227e-13,2.9507468240406175e-14,r,nissim
11957.9,4.975542739027238e-13,3.9612888647383314e-14,r,nissim
12067.6,5.165168111147224e-13,2.46899787575832e-14,r,nissim
12238.9,4.676077076626906e-13,4.3415497429843494e-14,r,nissim
8544.65,5.811069386278573e-13,3.376897222476934e-15,r,nissim
