time_sec,flux,flux_err,band,source
9720.0,1.4400256764195962e-14,2.7278793260612978e-17,r,14048
9540.0,4.348043979537093e-15,1.2014368044460678e-15,r',14049
4896.0,4.366406871612127e-15,8.079542476096051e-16,I,14056
13392.0,3.298328658117496e-14,6.20596479018916e-17,r',14050
20803.0,1.3652705870773297e-13,1.850491601297201e-15,v_swift,14086
15083.5,8.889498677612326e-14,2.7635914508042947e-15,b_swift,14086
15502.5,2.4812200792025063e-14,1.1897912408456322e-15,u_swift,14086
18101.5,2.261144366577025e-14,1.5747532853180837e-15,uvw1_swift,14086
21265.0,9.235544983772387e-15,7.748314990439773e-16,uvm2_swift,14086
20243.5,1.6394706090196306e-14,1.4723900795584269e-15,uvw2_swift,14086
