time_sec	flux	flux_err	band	source
21081.6	5.682645798845774e-14	1.059162778669444e-15	r	arXiv1308.2984
24278.4	4.0127854054455614e-14	3.777582613061458e-15	V	arXiv1308.2984
25056	4.949377585411549e-14	9.224922160577957e-16	r	arXiv1308.2984
28425.6	4.523201501196465e-14	1.2123300346891842e-15	V	arXiv1308.2984
53049.6	1.3232510643965976e-14	1.9888909009067283e-15	J	arXiv1308.2984
53136	1.2093460409013344e-14	3.3591692942687594e-16	r	arXiv1308.2984
138240	9.43084456736948e-16	2.6059764396418793e-16	r	arXiv1308.2984
139104	5.171806313670163e-15	3.994144729351954e-16	J	arXiv1308.2984
200448	9.854673771612788e-16	7.610685883640081e-17	J	arXiv1308.2984
281664	1.4946881353982799e-15	4.247141835970313e-18	r	arXiv1308.2984
368064	1.0340715439336064e-15	2.938304260009775e-18	r	arXiv1308.2984
630720	1.877769376015094e-15	1.450186298803362e-16	J	arXiv1308.2984
711072	5.1826345647676784e-15	1.4726405836295322e-17	r	arXiv1308.2984
712800	2.1296282704209896e-15	4.586129208817526e-17	i	arXiv1308.2984
1.84E+06	6.707344101477289e-15	1.9058853192838212e-17	r	arXiv1308.2984
