time_sec	flux	flux_err	band	source
119232	5.373213362420805e-13	3.57159341124034e-14	i'	14968
119232	5.557753905572046e-13	2.559440258699926e-14	R	14968
189000	3.293580544876378e-13	3.1125811417598284e-15	r'	14980
189000	3.550046863298292e-13	8.702612462932594e-15	i'	14980
187524	4.0467018865577684e-13	1.696759750109774e-14	Z	14980
187524	2.4690884380939175e-13	1.2563914656814273e-14	Y	14980
187524	1.7830558671986352e-13	1.1442746232529603e-14	J	14980
187524	1.1775552660021827e-13	1.0412583685065795e-14	H	14980
190489.9	3.3318382327510985e-13	1.6259982468165233e-14	i	14981
190628.1	3.0683070057764855e-13	1.4145197820958453e-14	r	14981
190769	2.830432713976524e-13	2.0666662130484157e-14	B	14981
190907	2.920795910388801e-13	4.4017062944731727e-14	z	14981
191045.5	2.721556260001139e-13	2.121753478332929e-14	g	14981
147595.4	4.4967558936409744e-13	1.2424995705036991e-14	R	14988
231056.9	2.5403836710229334e-13	9.359119314212632e-15	R	14988
152347	3.1701238796836027e-13	2.2485350280803242e-14	u_swift	14991
204233	2.0187206873057482e-13	1.697027714598554e-14	u_swift	14991
250428	1.2276547077560525e-13	3.013523093153779e-14	u_swift	14991
250281	1.0698002259993811e-13	1.8730560174787005e-14	uvw1_swift	14991
251798	5.934931805827321e-14	1.629841886426623e-14	uvm2_swift	14991
284984	9.099654960469377e-14	1.4906451429791526e-14	uvw2_swift	14991
367200	1.8267044578863642e-13	3.387057235448808e-15	r'	14993
189000	1.652852450906483e-13	5.291946894323294e-15	i'	14993
187524	1.8840881230144202e-13	1.0516122710008852e-14	Z	14993
187524	1.2261303593392398e-13	7.702745596216944e-15	Y	14993
187524	7.641259536739481e-14	6.622655776676348e-15	J	14993
187524	5.636133856816333e-14	6.2975386289969015e-15	H	14993
367200	1.696947039957498e-13	3.1464623218317195e-15	r'	14993
189000	1.4663379888333664e-13	3.594592338602751e-15	i'	14993
187524	1.7502545360116946e-13	8.488087008445148e-15	Z	14993
187524	9.920570455994959e-14	6.232259874313478e-15	Y	14993
187524	7.641259536739481e-14	6.117227948727033e-15	J	14993
187524	4.1589270145186027e-14	4.6469803937382165e-15	H	14993
316735	1.9270780848083083e-13	3.5498090168921004e-15	R	14996
402105.6	1.757516101630404e-13	4.856196451573412e-15	R	14996
490034	1.5736179922859458e-13	5.79742292976774e-15	R	14996
576797	1.6028737350294742e-13	7.381506336461111e-15	R	14996
663301	1.7254378176001509e-13	6.3567478363108575e-15	R	14996
751083	1.8745598569987106e-13	5.179600299180337e-15	R	14996
4988775	3.474555974931062e-14	2.5601474536478897e-15	R	15243
