time_sec,flux,flux_err,band,source
13248.0,2.0432139442938817e-13,1.0519718787571868e-14,J,14047
13248.0,2.211515752883306e-13,1.6512164484146902e-14,H,14047
13248.0,3.573294746237904e-13,2.7235581618627164e-14,Ks,14047
9720.0,1.4400256764195962e-14,2.7278793260612978e-17,r,14048
9720.0,8.172514547873843e-15,1.1732942065700264e-16,i,14048
9540.0,5.0539238295456256e-15,1.148447732442986e-16,g',14049
9540.0,4.348043979537093e-15,1.2014368044460678e-15,r',14049
9540.0,4.701442718399975e-15,1.733393957054056e-15,i',14049
9540.0,5.741368223758047e-15,1.5945270704132125e-15,z',14049
9540.0,8.918952353381571e-15,4.592023801489449e-16,J,14049
9540.0,6.678670802616106e-15,4.986593954146054e-16,H,14049
9540.0,1.7102863942878452e-14,1.3035768944584262e-15,Ks,14049
4896.0,4.366406871612127e-15,8.079542476096051e-16,I,14056
13392.0,3.298328658117496e-14,6.20596479018916e-17,r',14050
13392.0,1.871678058141555e-14,2.6909948959818277e-16,i',14050
13392.0,6.900139706543715e-14,1.934330751328795e-15,Z,14050
13392.0,5.3692715310311084e-14,2.03933499275178e-15,Y,14050
13392.0,4.2688789883202304e-14,2.1978807760546467e-15,J,14050
13392.0,2.6588267362877502e-14,1.98519880978426e-15,H,14050
20803.0,1.3652705870773297e-13,1.850491601297201e-15,v_swift,14086
15083.5,8.889498677612326e-14,2.7635914508042947e-15,b_swift,14086
15502.5,2.4812200792025063e-14,1.1897912408456322e-15,u_swift,14086
18101.5,2.261144366577025e-14,1.5747532853180837e-15,uvw1_swift,14086
21265.0,9.235544983772387e-15,7.748314990439773e-16,uvm2_swift,14086
20243.5,1.6394706090196306e-14,1.4723900795584269e-15,uvw2_swift,14086
61039.0,3.6318190457007186e-14,6.365246360715758e-16,I,14087
61039.0,1.580730685329952e-13,4.431295747973123e-15,Z,14087
